"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","2,336.56","2,210.44","2,363.58","2,193.71","599.58M","5.57%"
"12/01/2024","2,213.32","2,291.72","2,325.58","2,195.90","1.24B","-2.47%"
"11/01/2024","2,269.46","2,333.98","2,389.52","2,190.40","1.39B","-3.20%"
"10/01/2024","2,344.58","2,358.12","2,438.43","2,344.58","1.30B","-1.70%"
"09/01/2024","2,385.16","2,504.14","2,517.30","2,299.68","1.20B","-4.48%"
"08/01/2024","2,496.92","2,656.66","2,660.59","2,249.08","1.24B","-5.18%"
"07/01/2024","2,633.21","2,659.47","2,785.81","2,561.47","1.60B","-1.24%"
"06/01/2024","2,666.20","2,491.00","2,681.89","2,491.00","1.28B","8.10%"
"05/01/2024","2,466.50","2,520.52","2,611.33","2,466.24","1.36B","-2.24%"
"04/01/2024","2,523.10","2,628.30","2,634.36","2,392.92","1.23B","-3.22%"
"03/01/2024","2,607.13","2,499.76","2,635.45","2,469.95","1.40B","5.33%"
"02/01/2024","2,475.09","2,324.31","2,531.15","2,324.31","1.28B","6.38%"
"01/01/2024","2,326.71","2,471.52","2,512.64","2,245.42","1.16B","-6.31%"
"12/01/2023","2,483.32","2,328.09","2,483.32","2,281.25","1.01B","6.07%"
"11/01/2023","2,341.29","2,122.03","2,341.29","2,119.30","927.07M","11.06%"
"10/01/2023","2,108.11","2,218.53","2,282.64","2,105.34","903.58M","-6.26%"
"09/01/2023","2,249.01","2,304.94","2,393.27","2,237.18","851.42M","-2.63%"
"08/01/2023","2,309.65","2,411.18","2,438.29","2,246.36","1.03B","-3.65%"
"07/01/2023","2,397.19","2,354.61","2,412.07","2,282.53","1.21B","2.56%"
"06/01/2023","2,337.45","2,349.90","2,416.78","2,319.54","1.02B","-0.84%"
"05/01/2023","2,357.36","2,257.18","2,381.42","2,219.83","889.26M","4.66%"
"04/01/2023","2,252.36","2,231.23","2,321.52","2,189.90","1.03B","1.42%"
"03/01/2023","2,220.92","2,171.88","2,225.89","2,104.44","1.05B","2.41%"
"02/01/2023","2,168.56","2,209.73","2,260.06","2,143.87","997.89M","-0.70%"
"01/01/2023","2,183.86","1,996.43","2,278.89","1,948.26","1.02B","10.09%"
"12/01/2022","1,983.70","2,239.69","2,239.69","1,983.70","1.03B","-10.11%"
"11/01/2022","2,206.80","2,069.56","2,242.05","2,047.56","1.19B","6.91%"
"10/01/2022","2,064.24","1,960.37","2,067.79","1,932.21","1.04B","7.12%"
"09/01/2022","1,926.97","2,171.39","2,187.27","1,905.81","891.46M","-12.50%"
"08/01/2022","2,202.27","2,207.12","2,285.69","2,142.30","889.36M","-0.59%"
"07/01/2022","2,215.37","2,096.77","2,238.14","2,045.21","945.58M","6.06%"
"06/01/2022","2,088.88","2,407.69","2,418.84","2,084.88","1.16B","-13.78%"
"05/01/2022","2,422.86","2,404.94","2,439.22","2,311.40","996.63M","-0.36%"
"04/01/2022","2,431.60","2,503.29","2,521.10","2,352.71","961.96M","-3.35%"
"03/01/2022","2,515.99","2,496.60","2,535.49","2,378.82","1.06B","0.77%"
"02/01/2022","2,496.85","2,545.24","2,601.42","2,449.67","962.97M","-0.17%"
"01/01/2022","2,501.10","2,777.21","2,795.08","2,430.34","1.19B","-9.24%"
"12/01/2021","2,755.64","2,650.15","2,823.89","2,633.45","1.16B","4.93%"
"11/01/2021","2,626.14","2,710.71","2,804.64","2,610.19","1.14B","-2.64%"
"10/01/2021","2,697.46","2,762.01","2,770.96","2,616.89","1.00B","-2.69%"
"09/01/2021","2,771.92","2,917.19","2,927.48","2,733.28","1.05B","-5.04%"
"08/01/2021","2,919.10","2,966.91","3,052.65","2,801.60","1.38B","-1.05%"
"07/01/2021","2,949.94","3,057.05","3,061.84","2,949.94","1.13B","-3.47%"
"06/01/2021","3,056.06","2,965.82","3,081.27","2,957.32","1.36B","3.08%"
"05/01/2021","2,964.66","2,941.97","3,033.68","2,869.68","1.31B","0.81%"
"04/01/2021","2,940.72","2,916.40","3,051.33","2,916.40","1.46B","1.31%"
"03/01/2021","2,902.81","2,892.85","2,980.96","2,811.52","1.50B","0.60%"
"02/01/2021","2,885.52","2,851.57","3,049.94","2,826.13","1.61B","1.27%"
"01/01/2021","2,849.47","2,725.68","3,173.43","2,725.68","2.64B","4.56%"
"12/01/2020","2,725.20","2,433.72","2,730.76","2,431.43","1.87B","13.14%"
"11/01/2020","2,408.64","2,107.50","2,471.14","2,097.53","1.54B","14.75%"
"10/01/2020","2,099.01","2,159.46","2,234.98","2,098.81","1.14B","-2.77%"
"09/01/2020","2,158.75","2,166.09","2,259.33","2,108.97","1.29B","0.37%"
"08/01/2020","2,150.86","2,086.97","2,283.21","2,076.58","1.61B","3.11%"
"07/01/2020","2,086.03","1,981.53","2,119.26","1,955.96","1.39B","6.46%"
